invoiceNumber,savedAt,customerEmail,transactionId,subtotal,taxRate,taxAmount,total,taxSource,shipLine1,shipLine2,shipCity,shipState,shipZip,shipCountry,itemCount,items,redisKey
MC-1772430133194,,,,1,0.09,0.09,1.09,redis:61801,305 n lincoln ave apt119,,urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772430133194
MC-1772434933883,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434933883
MC-1772435053484,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435053484
MC-1772435055479,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435055479
MC-1772457774482,,,,127.2,0.09,11.45,138.65,redis:61801,123 Main St,,Urbana,IL,61801,US,1,XB-2R BALLHEAD x1,order:MC-1772457774482
MC-1772429916731,,,,1,0.09,0.09,1.09,redis:61801,305 n lincoln ave apt119,,urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772429916731
MC-1772430918210,,,,1,0.09,0.09,1.09,redis:61801,305 n lincoln ave apt119,,urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772430918210
MC-1772429706327,,,,1,0.09,0.09,1.09,redis:61801,305 n lincoln ave apt119,,urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772429706327
MC-1772434963621,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434963621
MC-1772434918698,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434918698
MC-1772434929883,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434929883
MC-1772435062537,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435062537
MC-1772428483590,,,,1,0.09,0.09,1.09,redis:61801,123 Main St,,Urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772428483590
MC-1772429799611,,,,1,0.09,0.09,1.09,redis:61801,305 n lincoln ave apt119,,urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772429799611
MC-1772382795369,,,,,,,,,,,,,,,1,PT-14 BALLHEAD COMBO x1,order:MC-1772382795369
MC-1772427968461,,,,127.2,0,0,127.2,non-il,123 Main St,,San Francisco,CA,94105,US,1,XB-2R BALLHEAD x1,order:MC-1772427968461
MC-1772426833125,,,,127.2,0.09,11.45,138.65,il-zip:61801,123 Main St,,Urbana,IL,61801,US,1,XB-2R BALLHEAD x1,order:MC-1772426833125
MC-1772435048481,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435048481
MC-1772457771945,,,,127.2,0.09,11.45,138.65,redis:61801,123 Main St,,Urbana,IL,61801,US,1,XB-2R BALLHEAD x1,order:MC-1772457771945
MC-1772434924862,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434924862
MC-1772435057505,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435057505
MC-1772435046494,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435046494
MC-1772427968117,,,,127.2,0.09,11.45,138.65,redis:61801,123 Main St,,Urbana,IL,61801,US,1,XB-2R BALLHEAD x1,order:MC-1772427968117
MC-1772430358981,,,,1,0.09,0.09,1.09,redis:61801,123 Main St,,Urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772430358981
MC-1772430910272,,,,1,0.09,0.09,1.09,redis:61801,305 n lincoln ave apt119,,urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772430910272
MC-1772435055476,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435055476
MC-1772458010464,,,,127.2,0.09,11.45,138.65,redis:61801,123 Main St,,Urbana,IL,61801,US,1,XB-2R BALLHEAD x1,order:MC-1772458010464
MC-1772435056494,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435056494
MC-1772435056484,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435056484
MC-1772435062554,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435062554
MC-1772434931868,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434931868
MC-1772431374179,,,,1,0.09,0.09,1.09,redis:61801,305 n lincoln ave apt119,,urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772431374179
MC-1772434936881,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434936881
MC-1772460973108,,,,127.2,0,0,127.2,non-il,2417 Avalon Pines Dr,,Coram,NY,11727,US,1,XT-15 BALLHEAD COMBO x1,order:MC-1772460973108
MC-1772457626026,,,,127.2,0.09,11.45,138.65,redis:61801,123 Main St,,Urbana,IL,61801,US,1,XB-2R BALLHEAD x1,order:MC-1772457626026
MC-1772430961201,,,,1,0.09,0.09,1.09,redis:61801,305 n lincoln ave apt119,,urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772430961201
MC-1772435050453,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435050453
MC-1772426835425,,,,127.2,0,0,127.2,non-il,1 Market,,San Francisco,CA,94105,US,1,XB-2R BALLHEAD x1,order:MC-1772426835425
MC-1772434932875,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434932875
MC-1772435048480,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435048480
MC-1772429506976,,,,1,0.09,0.09,1.09,redis:61801,123 Main St,,Urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772429506976
MC-1772435059511,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435059511
MC-1772458076528,,,,127.2,0.09,11.45,138.65,redis:61801,123 Main St,,Urbana,IL,61801,US,1,XB-2R BALLHEAD x1,order:MC-1772458076528
MC-1772434919659,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434919659
MC-1772434935888,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434935888
MC-1772435054495,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435054495
MC-1772431277231,,,,1,0.09,0.09,1.09,redis:61801,123 Main St,,Urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772431277231
MC-1772457776965,,,,129.2,0.09,11.63,140.83,redis:61801,123 Main St,,Urbana,IL,61801,US,2,XB-2R BALLHEAD x1 | TEST PRODUCT 1 USD x2,order:MC-1772457776965
MC-1772434927853,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434927853
MC-1772435049442,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435049442
MC-1772434930865,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434930865
MC-1772433416915,,,,1,0.09,0.09,1.09,redis:61801,123 Main St,,Urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772433416915
MC-1772432969897,,,,127.2,0,0,127.2,non-il,60412ss//w,,Cqw22211,2334LASL,51820,US,1,XB-2R BALLHEAD x1,order:MC-1772432969897
MC-1772434961607,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434961607
MC-1772457963308,,,,127.2,0.09,11.45,138.65,redis:61801,123 Main St,,Urbana,IL,61801,US,1,XB-2R BALLHEAD x1,order:MC-1772457963308
MC-1772435058543,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435058543
MC-1772460863231,,,,127.2,0,0,127.2,non-il,2417 Avalon Pines Dr,,Coram,NY,11727,US,1,XT-15 BALLHEAD COMBO x1,order:MC-1772460863231
MC-1772431526861,,,,1,0.09,0.09,1.09,redis:61801,305 n lincoln ave apt119,,urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772431526861
MC-1772434960635,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434960635
MC-1772434962607,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434962607
MC-1772435050450,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435050450
MC-1772435052487,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435052487
MC-1772435059512,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435059512
MC-1772434988111,,,,127.2,0,0,127.2,non-il,60412ss//w,,Cqw22211,2334LASL,51820,US,1,XB-2R BALLHEAD x1,order:MC-1772434988111
MC-1772434921850,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434921850
MC-1772457775276,,,,127.2,0.09,11.45,138.65,redis:61801,123 Main St,,Urbana,IL,61801,US,1,XB-2R BALLHEAD x1,order:MC-1772457775276
MC-1772434928886,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434928886
MC-1772431751386,,,,1,0.09,0.09,1.09,redis:61801,305 n lincoln ave apt119,,urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772431751386
MC-1772430557003,,,,1,0.09,0.09,1.09,redis:61801,123 Main St,,Urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772430557003
MC-1772434926902,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434926902
MC-1772429051901,,,,1,0.09,0.09,1.09,redis:61801,305 n lincoln ave apt119,,urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772429051901
MC-1772434962597,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434962597
MC-1772435051461,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435051461
MC-1772458854574,,,,127.2,0.09,11.45,138.65,redis:61801,123 Main St,,Urbana,IL,61801,US,1,XB-2R BALLHEAD x1,order:MC-1772458854574
MC-1772433292113,,,,1,0.09,0.09,1.09,redis:61801,123 Main St,,Urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772433292113
MC-1772435061543,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435061543
MC-1772434959666,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434959666
MC-1772457777845,,,,129.2,0.09,11.63,140.83,redis:61801,123 Main St,,Urbana,IL,61801,US,2,XB-2R BALLHEAD x1 | TEST PRODUCT 1 USD x2,order:MC-1772457777845
MC-1772434960639,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434960639
MC-1772435047458,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435047458
MC-1772458130417,,,,127.2,0.09,11.45,138.65,redis:61801,123 Main St,,Urbana,IL,61801,US,1,XB-2R BALLHEAD x1,order:MC-1772458130417
MC-1772430035056,,,,1,0.09,0.09,1.09,redis:61801,123 Main St,,Urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772430035056
MC-1772434934905,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434934905
MC-1772435054529,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435054529
MC-1772430994386,,,,1,0.09,0.09,1.09,redis:61801,305 n lincoln ave apt119,,urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772430994386
MC-1772434963612,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434963612
MC-1772435049447,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435049447
MC-1772427626111,,,,127.2,0.09,11.45,138.65,il-zip:61801,123 Main St,,Urbana,IL,61801,US,1,XB-2R BALLHEAD x1,order:MC-1772427626111
MC-1772434925842,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434925842
MC-1772432723305,,,,1,0.09,0.09,1.09,redis:61820,"Apt 1432D, 608 E University Ave",,Champaign,IL,61820,US,1,TEST PRODUCT 1 USD x1,order:MC-1772432723305
MC-1772435058537,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435058537
MC-1772434961623,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434961623
MC-1772435061544,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435061544
MC-1772434959732,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772434959732
MC-1772433499091,,,,1,0.09,0.09,1.09,redis:61801,123 Main St,,Urbana,IL,61801,US,1,TEST PRODUCT 1 USD x1,order:MC-1772433499091
MC-1772435046482,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435046482
MC-1772435047445,,,,1,0.0625,0.06,1.06,il-fallback,123 Fake St,,Chicago,IL,60601,US,1,TEST PRODUCT 1 USD x1,order:MC-1772435047445
